config,example_id,precision@1,recall@1,ndcg@1,hit_rate@1,precision@3,recall@3,ndcg@3,hit_rate@3,precision@5,recall@5,ndcg@5,hit_rate@5,mrr,faithfulness,answer_relevance,context_utilization
tfidf_baseline,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.307654,0.080000
tfidf_baseline,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.140972,0.083333
tfidf_baseline,q03,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046971,0.103448
tfidf_baseline,q04,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.090909
tfidf_baseline,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.299496,0.071429
tfidf_baseline,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.086957
tfidf_baseline,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.293916,0.074074
tfidf_baseline,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.145621,0.080000
tfidf_baseline,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.226363,0.064516
tfidf_baseline,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.161434,0.125000
tfidf_baseline,q11,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.368597,0.071429
tfidf_baseline,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.078856,0.107143
tfidf_baseline,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.082503,0.076923
tfidf_baseline,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.071709,0.103448
